text,type,label,source
"Okay, good, no problem, and thanx!",sms,legitimate,real
I've told you everything will stop. Just dont let her get dehydrated.,sms,legitimate,real
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),sms,legitimate,real
Hmmm.still we dont have opener?,sms,legitimate,real
"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",sms,legitimate,real
Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins,sms,phishing,real
Now thats going to ruin your thesis!,sms,legitimate,real
I'm job profile seems like bpo..,sms,legitimate,real
Where is it. Is there any opening for mca.,sms,legitimate,real
Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,sms,legitimate,real
Just got to &lt;#&gt;,sms,legitimate,real
Click to avoid account closure Attijariwafa: http://laposte-colis.info,sms,phishing,synthetic
Refund of 250 EUR pending from Free. Claim within 12h: http://apple-id-locked.co/account/confirm,sms,phishing,synthetic
Everybody had fun this evening. Miss you.,sms,legitimate,real
"Bonjour, Your Free account is locked. Confirm your identity now: http://netflix-billing.support/billing/reactivate",email,phishing,synthetic
So are you guys asking that i get that slippers again or its gone with last year,sms,legitimate,real
Your Microsoft account is locked. Confirm your identity now: http://laposte-colis.info/account/confirm,sms,phishing,synthetic
Jay is snickering and tells me that x is totally fucking up the chords as we speak,sms,legitimate,real
Yeah sure I'll leave in a min,sms,legitimate,real
"Cher client, Refund of 250 EUR pending from Chronopost. Claim within 12h: http://amaz0n-verify.net/unlock?id=8821",email,phishing,synthetic
It is only yesterday true true.,sms,legitimate,real
Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?,sms,legitimate,real
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,sms,phishing,real
I just cooked a rather nice salmon a la you,sms,legitimate,real
Security alert: unusual login on your PayPal account. Reset: http://192.168.43.12,sms,phishing,synthetic
"Dear customer, Security alert: unusual login on your CIH Bank account. Reset: https://paypa1-secure.com/billing/reactivate",email,phishing,synthetic
She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,sms,legitimate,real
Votre colis est bloque. Payez les frais de douane: http://secure-orange-fr.com,sms,phishing,synthetic
"Dear customer, تنبيه: تم تعليق حسابك في Apple. تحقق من هويتك هنا: http://apple-id-locked.co/unlock?id=8821",email,phishing,synthetic
I'm in class. Did you get my text.,sms,legitimate,real
"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",sms,phishing,real
"Haha awesome, I've been to 4u a couple times. Who all's coming?",sms,legitimate,real
I tagged MY friends that you seemed to count as YOUR friends.,sms,legitimate,real
"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",sms,phishing,real
"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",sms,legitimate,real
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,sms,legitimate,real
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,sms,phishing,real
"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)",sms,legitimate,real
Lmao but its so fun...,sms,legitimate,real
"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",sms,legitimate,real
"Dear customer, Click to avoid account closure Netflix: http://paypa1-secure.com",email,phishing,synthetic
"Bonjour, Click to avoid account closure Chronopost: https://bit.ly/3xVq9z/secure/update",email,phishing,synthetic
"Dear customer, تنبيه: تم تعليق حسابك في Orange. تحقق من هويتك هنا: https://bit.ly/3xVq9z/account/confirm",email,phishing,synthetic
"Aight, we'll head out in a few",sms,legitimate,real
Idea will soon get converted to live:),sms,legitimate,real
No plans yet. What are you doing ?,sms,legitimate,real
LOL ... No just was busy,sms,legitimate,real
Nope... C ü then...,sms,legitimate,real
Yeah I can still give you a ride,sms,legitimate,real
Click to avoid account closure PayPal: http://paypa1-secure.com,sms,phishing,synthetic
I know you mood off today,sms,legitimate,real
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,sms,legitimate,real
"Dear customer, تنبيه: تم تعليق حسابك في Google. تحقق من هويتك هنا: https://netflix-billing.support",email,phishing,synthetic
Mathews or tait or edwards or anderson,sms,legitimate,real
Hey whats up? U sleeping all morning?,sms,legitimate,real
Hey so whats the plan this sat?,sms,legitimate,real
Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,sms,legitimate,real
"Good stuff, will do.",sms,legitimate,real
https://cihbank-login.online/unlock?id=8821,url,phishing,synthetic
"Cher client, Security alert: unusual login on your Orange account. Reset: https://cihbank-login.online/unlock?id=8821",email,phishing,synthetic
Why didn't u call on your lunch?,sms,legitimate,real
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",sms,phishing,real
"Goodnight, sleep well da please take care pa. Please.",sms,legitimate,real
Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,sms,legitimate,real
Your PayPal account is locked. Confirm your identity now: https://laposte-colis.info/webscr?cmd=login,sms,phishing,synthetic
Refund of 250 EUR pending from Google. Claim within 12h: http://laposte-colis.info/webscr?cmd=login,sms,phishing,synthetic
FreeMsg>FAV XMAS TONES!Reply REAL,sms,phishing,real
"Dear customer, Security alert: unusual login on your Apple account. Reset: http://192.168.43.12",email,phishing,synthetic
Security alert: unusual login on your Free account. Reset: https://192.168.43.12/billing/reactivate,sms,phishing,synthetic
ILL B DOWN SOON,sms,legitimate,real
ARE YOU IN TOWN? THIS IS V. IMPORTANT,sms,legitimate,real
Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,sms,legitimate,real
Probably earlier than that if the station's where I think it is,sms,legitimate,real
"Bonjour, Your Netflix account is locked. Confirm your identity now: https://192.168.43.12",email,phishing,synthetic
R u here yet? I'm wearing blue shirt n black pants.,sms,legitimate,real
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,sms,phishing,real
Click to avoid account closure Google: http://192.168.43.12/unlock?id=8821,sms,phishing,synthetic
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",sms,phishing,real
Kallis is ready for bat in 2nd innings,sms,legitimate,real
"Bonjour, URGENT: votre compte PayPal a ete suspendu. Verifiez ici: https://laposte-colis.info/unlock?id=8821",email,phishing,synthetic
Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,sms,legitimate,real
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,sms,legitimate,real
Oh is it? Send me the address,sms,legitimate,real
I am literally in bed and have been up for like &lt;#&gt; hours,sms,legitimate,real
URGENT: votre compte Chronopost a ete suspendu. Verifiez ici: http://bit.ly/3xVq9z,sms,phishing,synthetic
"Bonjour, Your DHL account is locked. Confirm your identity now: http://paypa1-secure.com",email,phishing,synthetic
Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,sms,phishing,real
Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,sms,phishing,real
"Cher client, Refund of 250 EUR pending from DHL. Claim within 12h: http://cihbank-login.online/account/confirm",email,phishing,synthetic
"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",sms,legitimate,real
Your CIH Bank account is locked. Confirm your identity now: https://laposte-colis.info,sms,phishing,synthetic
This message is brought to you by GMW Ltd. and is not connected to the,sms,phishing,real
Omg it could snow here tonite!,sms,legitimate,real
"Sounds good, keep me posted",sms,legitimate,real
تنبيه: تم تعليق حسابك في Apple. تحقق من هويتك هنا: https://cihbank-login.online/billing/reactivate,sms,phishing,synthetic
تنبيه: تم تعليق حسابك في Orange. تحقق من هويتك هنا: http://192.168.43.12,sms,phishing,synthetic
Oooh bed ridden ey? What are YOU thinking of?,sms,legitimate,real
Yupz... I've oredi booked slots 4 my weekends liao...,sms,legitimate,real
Thought we could go out for dinner. I'll treat you! Seem ok?,sms,legitimate,real
Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save £s with Free texts/weekend calls. Text YES for a callback orno to opt out,sms,phishing,real
Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,sms,legitimate,real
Finally the match heading towards draw as your prediction.,sms,legitimate,real
Refund of 250 EUR pending from Apple. Claim within 12h: http://account-update.xyz/account/confirm,sms,phishing,synthetic
"Cher client, Your PayPal order has shipped and will arrive Tuesday.",email,legitimate,synthetic
https://paypal.com/,url,legitimate,synthetic
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),sms,phishing,real
In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,sms,legitimate,real
I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,sms,legitimate,real
No da if you run that it activate the full version da.,sms,legitimate,real
Yo we are watching a movie on netflix,sms,legitimate,real
URGENT: votre compte Microsoft a ete suspendu. Verifiez ici: https://apple-id-locked.co/webscr?cmd=login,sms,phishing,synthetic
"Cher client, Vous avez gagne un cadeau Orange! Reclamez-le sous 24h: http://paypa1-secure.com/unlock?id=8821",email,phishing,synthetic
https://paypal.com/orders,url,legitimate,synthetic
She ran off with a younger man. we will make pretty babies together :),sms,legitimate,real
Thankyou so much for the call. I appreciate your care.,sms,legitimate,real
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,sms,phishing,real
URGENT: votre compte Microsoft a ete suspendu. Verifiez ici: https://laposte-colis.info/unlock?id=8821,sms,phishing,synthetic
Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,sms,legitimate,real
So what did the bank say about the money?,sms,legitimate,real
Your Microsoft account is locked. Confirm your identity now: https://netflix-billing.support/billing/reactivate,sms,phishing,synthetic
تنبيه: تم تعليق حسابك في Amazon. تحقق من هويتك هنا: http://laposte-colis.info/login/verify,sms,phishing,synthetic
Are you comingdown later?,sms,legitimate,real
Security alert: unusual login on your BNP account. Reset: https://netflix-billing.support,sms,phishing,synthetic
Tell rob to mack his gf in the theater,sms,legitimate,real
Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,sms,legitimate,real
"Sorry, was in the bathroom, sup",sms,legitimate,real
Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?,sms,legitimate,real
"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",sms,phishing,real
تنبيه: تم تعليق حسابك في Chronopost. تحقق من هويتك هنا: http://paypa1-secure.com/account/confirm,sms,phishing,synthetic
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,sms,legitimate,real
https://secure-orange-fr.com/webscr?cmd=login,url,phishing,synthetic
Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,sms,legitimate,real
Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP,sms,phishing,real
Ok lor. Msg me b4 u call.,sms,legitimate,real
Now project pa. After that only i can come.,sms,legitimate,real
Dernier avertissement: mettez a jour vos infos Apple ou perte du compte: http://netflix-billing.support/webscr?cmd=login,sms,phishing,synthetic
Your BNP account is locked. Confirm your identity now: https://netflix-billing.support/account/confirm,sms,phishing,synthetic
"Cher client, Refund of 250 EUR pending from Chronopost. Claim within 12h: http://cihbank-login.online",email,phishing,synthetic
I dunno they close oredi not... Ü v ma fan...,sms,legitimate,real
"'An Amazing Quote'' - ""Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....""",sms,legitimate,real
So u wan 2 come for our dinner tonight a not?,sms,legitimate,real
"Bonjour, Your PayPal order has shipped and will arrive Tuesday.",email,legitimate,synthetic
Votre carte sera debitee de 89.99 EUR. Annulez ici: http://netflix-billing.support/billing/reactivate,sms,phishing,synthetic
"Dear customer, Click to avoid account closure Chronopost: http://account-update.xyz",email,phishing,synthetic
Hi good mornin.. Thanku wish u d same..,sms,legitimate,real
Hi Princess! Thank you for the pics. You are very pretty. How are you?,sms,legitimate,real
Love it! I want to flood that pretty pussy with cum...,sms,legitimate,real
"URGENT! Your mobile No *********** WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm",sms,phishing,real
"Bonjour, Security alert: unusual login on your Netflix account. Reset: http://account-update.xyz/unlock?id=8821",email,phishing,synthetic
Click to avoid account closure Chronopost: https://paypa1-secure.com,sms,phishing,synthetic
http://netflix-billing.support/secure/update,url,phishing,synthetic
http://account-update.xyz,url,phishing,synthetic
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,sms,legitimate,real
Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar,sms,legitimate,real
Speaking of does he have any cash yet?,sms,legitimate,real
"Cher client, Bonjour Karim, la reunion est decalee a 15h.",email,legitimate,synthetic
I'll probably be by tomorrow (or even later tonight if something's going on),sms,legitimate,real
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,sms,legitimate,real
Click to avoid account closure La Poste: https://paypa1-secure.com/secure/update,sms,phishing,synthetic
"Cher client, Security alert: unusual login on your BNP account. Reset: https://paypa1-secure.com/account/confirm",email,phishing,synthetic
I tot u reach liao. He said t-shirt.,sms,legitimate,real
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",sms,phishing,real
Click to avoid account closure Amazon: http://amaz0n-verify.net,sms,phishing,synthetic
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,sms,phishing,real
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",sms,phishing,real
I accidentally deleted the message. Resend please.,sms,legitimate,real
Vous avez gagne un cadeau Netflix! Reclamez-le sous 24h: http://cihbank-login.online/secure/update,sms,phishing,synthetic
Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,sms,phishing,real
"Bonjour Ali, la reunion est decalee a 15h.",sms,legitimate,synthetic
Vous avez gagne un cadeau Attijariwafa! Reclamez-le sous 24h: https://cihbank-login.online/webscr?cmd=login,sms,phishing,synthetic
"Jolly good! By the way, will give u tickets for sat eve 7.30. Speak before then x",sms,legitimate,real
:-) :-),sms,legitimate,real
No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,sms,legitimate,real
Yeah confirmed for you staying at that weekend,sms,legitimate,real
Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,sms,phishing,real
Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,sms,legitimate,real
تنبيه: تم تعليق حسابك في Attijariwafa. تحقق من هويتك هنا: http://laposte-colis.info/login/verify,sms,phishing,synthetic
URGENT: votre compte Free a ete suspendu. Verifiez ici: https://secure-orange-fr.com/webscr?cmd=login,sms,phishing,synthetic
"What's up bruv, hope you had a great break. Do have a rewarding semester.",sms,legitimate,real
Refund of 250 EUR pending from PayPal. Claim within 12h: http://laposte-colis.info/account/confirm,sms,phishing,synthetic
"Kate jackson rec center before 7ish, right?",sms,legitimate,real
Would me smoking you out help us work through this difficult time,sms,legitimate,real
Haha okay... Today weekend leh...,sms,legitimate,real
Right it wasnt you who phoned it was someone with a number like yours!,sms,legitimate,real
Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?,sms,legitimate,real
URGENT: votre compte BNP a ete suspendu. Verifiez ici: http://paypa1-secure.com/webscr?cmd=login,sms,phishing,synthetic
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",sms,legitimate,real
"Will do, you gonna be at blake's all night? I might be able to get out of here a little early",sms,legitimate,real
"Bonjour, Vous avez gagne un cadeau Apple! Reclamez-le sous 24h: http://account-update.xyz/login/verify",email,phishing,synthetic
Ok then no need to tell me anything i am going to sleep good night,sms,legitimate,real
"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",sms,legitimate,real
Vous avez gagne un cadeau Amazon! Reclamez-le sous 24h: http://paypa1-secure.com/secure/update,sms,phishing,synthetic
"Cher client, Dernier avertissement: mettez a jour vos infos Netflix ou perte du compte: https://laposte-colis.info/billing/reactivate",email,phishing,synthetic
"Dear customer, URGENT: votre compte Netflix a ete suspendu. Verifiez ici: https://cihbank-login.online/unlock?id=8821",email,phishing,synthetic
"Cher client, URGENT: votre compte La Poste a ete suspendu. Verifiez ici: http://amaz0n-verify.net/unlock?id=8821",email,phishing,synthetic
Was actually about to send you a reminder today. Have a wonderful weekend,sms,legitimate,real
Click to avoid account closure Free: https://netflix-billing.support/billing/reactivate,sms,phishing,synthetic
"Just sent you an email – to an address with incomm in it, is that right?",sms,legitimate,real
That's necessarily respectful,sms,legitimate,real
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,sms,legitimate,real
Yo dude guess who just got arrested the other day,sms,legitimate,real
Vous avez gagne un cadeau PayPal! Reclamez-le sous 24h: http://laposte-colis.info/account/confirm,sms,phishing,synthetic
"Its ok chikku, and its my 1 of favourite song..:-)",sms,legitimate,real
"Easy mate, * guess the quick drink was bit ambitious.",sms,legitimate,real
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,sms,phishing,real
Click to avoid account closure DHL: http://apple-id-locked.co,sms,phishing,synthetic
After completed degree. There is no use in joining finance.,sms,legitimate,real
Super da:)good replacement for murali,sms,legitimate,real
Click to avoid account closure DHL: http://cihbank-login.online/login/verify,sms,phishing,synthetic
i can call in &lt;#&gt; min if thats ok,sms,legitimate,real
Your Microsoft account is locked. Confirm your identity now: https://netflix-billing.support,sms,phishing,synthetic
Vous avez gagne un cadeau Attijariwafa! Reclamez-le sous 24h: http://paypa1-secure.com,sms,phishing,synthetic
Refund of 250 EUR pending from Orange. Claim within 12h: http://paypa1-secure.com/account/confirm,sms,phishing,synthetic
"Bonjour, Click to avoid account closure Google: https://bit.ly/3xVq9z",email,phishing,synthetic
Great comedy..cant stop laughing da:),sms,legitimate,real
Vous avez gagne un cadeau Google! Reclamez-le sous 24h: http://netflix-billing.support/webscr?cmd=login,sms,phishing,synthetic
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,sms,legitimate,real
"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",sms,phishing,real
Your Apple account is locked. Confirm your identity now: http://account-update.xyz/unlock?id=8821,sms,phishing,synthetic
This weekend is fine (an excuse not to do too much decorating),sms,legitimate,real
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",sms,phishing,real
Your La Poste order has shipped and will arrive Tuesday.,sms,legitimate,synthetic
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,sms,legitimate,real
u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),sms,phishing,real
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,sms,legitimate,real
Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,sms,phishing,real
Do u noe how 2 send files between 2 computers?,sms,legitimate,real
"Bonjour, Your Google account is locked. Confirm your identity now: http://account-update.xyz/unlock?id=8821",email,phishing,synthetic
"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for!",sms,legitimate,real
Need a coffee run tomo?Can't believe it's that time of week already,sms,legitimate,real
Votre carte sera debitee de 89.99 EUR. Annulez ici: http://apple-id-locked.co/login/verify,sms,phishing,synthetic
